"x","y","pred","pred_var","time_in_seconds"
-50.0502512562814,-50,NA,NA,1.31764
-49.9899497487437,-50,NA,NA,1.31764
-49.929648241206,-50,NA,NA,1.31764
-49.8693467336683,-50,NA,NA,1.31764
-49.8090452261306,-50,NA,NA,1.31764
-49.748743718593,-50,NA,NA,1.31764
-49.6884422110553,-50,NA,NA,1.31764
-49.6281407035176,-50,NA,NA,1.31764
-49.5678391959799,-50,NA,NA,1.31764
-49.5075376884422,-50,NA,NA,1.31764
-49.4472361809045,-50,NA,NA,1.31764
-49.3869346733668,-50,NA,NA,1.31764
-49.3266331658292,-50,NA,NA,1.31764
-49.2663316582915,-50,NA,NA,1.31764
-49.2060301507538,-50,NA,NA,1.31764
-49.1457286432161,-50,NA,NA,1.31764
-49.0854271356784,-50,NA,NA,1.31764
-49.0251256281407,-50,NA,NA,1.31764
-48.964824120603,-50,NA,NA,1.31764
-48.9045226130653,-50,NA,NA,1.31764
-48.8442211055276,-50,NA,NA,1.31764
-48.78391959799,-50,NA,NA,1.31764
-48.7236180904523,-50,NA,NA,1.31764
-48.6633165829146,-50,NA,NA,1.31764
-48.6030150753769,-50,NA,NA,1.31764
-48.5427135678392,-50,NA,NA,1.31764
-48.4824120603015,-50,NA,NA,1.31764
-48.4221105527638,-50,NA,NA,1.31764
-48.3618090452261,-50,NA,NA,1.31764
-48.3015075376884,-50,NA,NA,1.31764
-48.2412060301508,-50,NA,NA,1.31764
-48.1809045226131,-50,NA,NA,1.31764
-48.1206030150754,-50,NA,NA,1.31764
-48.0603015075377,-50,NA,NA,1.31764
-48,-50,NA,NA,1.31764
-60,-49.9246231155779,NA,NA,1.31764
-59.9396984924623,-49.9246231155779,-0.0681363954080716,0.182707273131067,1.31764
-59.8793969849246,-49.9246231155779,-0.156116928218747,0.170936424565009,1.31764
-59.8190954773869,-49.9246231155779,-0.31109117066444,0.170837277707813,1.31764
-59.7587939698492,-49.9246231155779,-0.474279398912334,0.162314250737887,1.31764
-59.6984924623116,-49.9246231155779,-0.557539502834032,0.16758339962511,1.31764
-59.6381909547739,-49.9246231155779,-0.563847029423247,0.168059998687651,1.31764
-59.5778894472362,-49.9246231155779,-0.561139239288678,0.159395712641839,1.31764
-59.5175879396985,-49.9246231155779,-0.603917614442732,0.154611410708717,1.31764
-59.4572864321608,-49.9246231155779,-0.685900941251663,0.135857533954581,1.31764
-59.3969849246231,-49.9246231155779,-0.633994367858548,0.143142940005753,1.31764
-59.3366834170854,-49.9246231155779,-0.562822673200717,0.135704456392175,1.31764
-59.2763819095477,-49.9246231155779,-0.656863793116926,0.138850374081434,1.31764
-59.21608040201,-49.9246231155779,-0.751505187974903,0.152351578953345,1.31764
-59.1557788944724,-49.9246231155779,-0.765257853469397,0.208417789942494,1.31764
-59.0954773869347,-49.9246231155779,-0.738272657282465,0.186363280719564,1.31764
-59.035175879397,-49.9246231155779,-0.693243270226162,0.150705191614804,1.31764
-58.9748743718593,-49.9246231155779,-0.605082772559498,0.154667860618683,1.31764
-58.9145728643216,-49.9246231155779,-0.47547324598322,0.148458368915485,1.31764
-58.8542713567839,-49.9246231155779,-0.34968853732579,0.145494872309083,1.31764
-58.7939698492462,-49.9246231155779,-0.297407032629515,0.166159133045684,1.31764
-58.7336683417085,-49.9246231155779,-0.30487060131086,0.172971364154677,1.31764
-58.6733668341709,-49.9246231155779,-0.363882551593381,0.15839921422201,1.31764
-58.6130653266332,-49.9246231155779,-0.459069518549914,0.140840023433041,1.31764
-58.5527638190955,-49.9246231155779,-0.562841223052853,0.158406621995551,1.31764
-58.4924623115578,-49.9246231155779,-0.635412888294724,0.180331900507223,1.31764
-58.4321608040201,-49.9246231155779,-0.650597329346262,0.160785982492262,1.31764
-58.3718592964824,-49.9246231155779,-0.578262734767229,0.149387532142458,1.31764
-58.3115577889447,-49.9246231155779,-0.468848105460637,0.164351120637648,1.31764
-58.251256281407,-49.9246231155779,-0.444049150310864,0.145157404839251,1.31764
-58.1909547738694,-49.9246231155779,-0.478602624262393,0.173207434113206,1.31764
-58.1306532663317,-49.9246231155779,-0.529373820531553,0.180740728308611,1.31764
-58.070351758794,-49.9246231155779,-0.506321211521215,0.171999375832855,1.31764
-58.0100502512563,-49.9246231155779,-0.43130671352656,0.164286770420842,1.31764
-57.9497487437186,-49.9246231155779,-0.371653522028119,0.168158319318677,1.31764
-57.8894472361809,-49.9246231155779,-0.349799552775391,0.193251717862121,1.31764
-57.8291457286432,-49.9246231155779,-0.360483611913882,0.209663222357295,1.31764
-57.7688442211055,-49.9246231155779,-0.394680072845638,0.193313412813229,1.31764
